name,desc,tags,price,cicle,spec,new_spec,pay_type,desc_process,lof_label,labels
小程序认证免300元认证年费,服务商平台快速认证官方小程序，免300元认证年费 ，提交到审核通过最快仅需三分钟,小程序，微信公众号，小程序认证,9.9,1次,小程序认证免300元认证年费,小程序认证免300元认证年费,1.0,服务商 平台 快速 认证 官方 小程序 免  元 认证 年费 提交 审核 最快 需 三分钟,1,3
【拇指云】企业三要素校验-企业工商信息查询-企业基本信息API,拇指云基于云算法及工商企业信用数据，用户只需传入企业全称或社会统一信用代码，即可获得企业工商相关信息（法人、注册资本、地址、营业范围、企业期限、经营状态等），亦可对企业三要素进行核验对比，极大提高了信息处理效率，助力企业数字化转型。,,0.0199,1年,"19.90元/1,000次",0.0199,0.0,拇指 云 基于 云 算法 工商企业 信用 数据 用户 只 需 传入 全称 社会 统一 信用 代码 即可 获得 工商 相关 信息 法人 注册资本 地址 营业 范围 期限 经营 状态 亦可 三要素 进行 核验 对比 极大 提高 信息处理 效率 助力 数字化 转型,1,0
企业培训APP源码丨企业内训系统搭建丨员工技能培训图文考试刷题平台二开丨视频会议公司培训学习H5,覆盖企业个性化、多样化的培训场景，全面解决企业培训应用需求痛点，为企业提供一站式的企业培训解决方案。,,1.0,1次,成品系统丨整套源码出售（详情请咨询客服）,成品系统丨整套源码出售（详情请咨询客服）,1.0,覆盖 个性化 多样化 培训 场景 全面解决 培训 应用 需求 痛点 一站式 培训 解决方案,1,2
【超级官网】官网视频展示访客分段预约,官网全网端展示，精美行业模板、图片+视频展示，营销商城,企业官网，形象展示，小程序官网,36500.0,1天,官网云专业版,官网云专业版,2.0,官网 全网 端 展示 精美 行业 模板 图片 视频 展示 营销 商城,1,2
交强险日期查询,"1、根据VIN码查询车辆交强险初次投保日期及最近投保日期。
2、根据VIN码查询车辆交强险最近投保日期及状态：
1）在交强险在保期内 ；
2）不在交强险在保期内 ；
3）较大概率不在交强险在保期内；
4）交强险当月到期,无法判断是否在交强险在保期内。
",车辆查询,2.5,1年,50.00元/20次,2.5,0.0, VIN 查询 车辆 交强险 初次 投保 日期 最近 投保 日期  VIN 查询 车辆 交强险 最近 投保 日期 状态  交强险 保 期内  不 交强险 保 期内  较大 概率 不 交强险 保 期内  交强险 当月 到期 无法 判断 是否 交强险 保 期内,1,1
JINGsocial SCRM营销自动化平台,中国领先的营销自动化平台，助力品牌将粉丝转化为客户,营销自动化，SCRM，数字化营销,150000.0,1个月,专业版,专业版,2.0,中国 领先 营销 自动化 平台 助力 品牌 粉丝 转化 客户,1,2
宝商云邮箱【宝商云邮箱标准版/标准版/集团版】,"企业邮箱是以企业域名作后缀的邮箱，既体现公司品牌和形象，又能方便公司对员工信箱进行统一管理，还能使公司商业信函来往获得更好更安全的管理，是现今互联网时代中不可缺少的现代化通讯工具。
品牌云企业邮箱免费版、标准版为云服务商宝商科技合作伙伴提供的品牌云企业邮箱。",企业邮箱开通，企业邮箱搬迁,1200.0,1个月,云企业邮箱免费版【5GB邮箱空间X50邮箱帐号】关联会员价299元【每天限5名】,云企业邮箱免费版【5GB邮箱空间X50邮箱帐号】关联会员价299元【每天限5名】,2.0,企业邮箱 域名 作 后缀 邮箱 体现 品牌 形象 方便 员工 信箱 进行 统一 管理 还 使 商业 信函 来往 获得 更好 更 安全 管理 现今 互联网 时代 中 不可 缺少 现代化 通讯 工具 品牌 云 企业邮箱 免费版 标准版 为云 服务商 宝商 科技 合作伙伴 品牌 云 企业邮箱,1,3
千帆小微企业经营管理平台-专业版,金蝶云·星辰专业版是基于云原生架构的小微企业成长服务平台，提供完整的小微企业SaaS与PaaS服务，包括财务云、税务云、进销存云、零售云、订货商城等SaaS服务，支持小微企业拓客开源、智能管理、实时决策,,300.0,-1,-1,-1,,金蝶 云 星辰 专业版 基于 云 原生 架构 小微 成长 服务平台 完整 小微 SaaS PaaS 服务 财务 云 税务 云 进销存 云 零售 云 订货 商城 SaaS 服务 支持 小微 拓客 开源 智能 管理 实时 决策,1,0
云主机迁移,由具备腾讯云 TCP 认证的工程师为您提供专业的迁移服务。,数据迁移，网站迁移,500.0,1次,虚拟机迁移上云,虚拟机迁移上云,1.0,具备 腾讯 云 TCP 认证 工程师 专业 迁移 服务,1,2
八字命运精批算命|宝宝起名|姓名测算|八字合婚|灵签占卜,凭借领先的命理玄学知识图谱与人工智能技术，八字算命、生辰八字算命、八字预测、生辰八字、免费算命、五行八字，姓名测算与五行喜神，八字排盘专业分析数据,,0.08,1年,40.00元/500次,0.08,0.0,领先 命理 玄学 知识 图谱 人工智能 技术 八字 算命 生辰八字 算命 八字 预测 生辰八字 免费 算命 五行 八字 姓名 测算 五行 喜神 八字 排盘 专业 分析 数据,1,3
【聚美智数】全国停车场数据实时查询-停车场实时查询,"【全国停车场数据实时查询】停车场数据实时查询，返回包括停车场位置，车位数，剩余车位、费用等信息,覆盖全国十万个以上停车场。—— 我们只做精品!",,0.16,1年,80.00元/500次,0.16,0.0,全国 停车场 数据 实时 查询 停车场 数据 实时 查询 返回 停车场 位置 车 位数 剩余 车位费 信息 覆盖全国 十万个 以上 停车场 只 做 精品,1,0
【IT链】投票小程序营销小程序,多活动同时进行，自定义界面风格，视频上传 音频上传，评论功能，送礼功能IT链企业服务中心，让天下商家没有难做的小程序！！,工具,1980.0,1年,【IT链】巨划算⭐买一年送一年,【IT链】巨划算⭐买一年送一年,2.0,活动 进行 自定义 界面风格 视频 上传 音频 上传 评论 送礼 IT 链 服务中心 天下 商家 没有 难 做 小程序,1,3
翔云-驾驶证识别API【图像、文字识别OCR】（限时大促）,通过提交驾驶证图片，智能提取驾驶证图片信息，包括姓名、驾驶证号、性别、有效期限等所有信息，驾驶证识别服务，可快速精准的识别出驾驶证信息并返回，可免去您人工校对录入驾驶证信息的烦恼。,证件识别,0.09975,1年,"399.00元/4,000次",0.09975,0.0,提交 驾驶证 图片 智能 提取 驾驶证 图片 信息 姓名 驾驶证 号 性别 有效期限 所有 信息 驾驶证 识别 服务 快速 精准 识别 驾驶证 信息 返回 免去 人工 校对 录入 驾驶证 信息 烦恼,1,0
【IT链】社群社区团购小程序,社区团购+社群团购，线上线下双模式，后台自由配置配送方式.IT链企业服务中心，让天下没有难做的小程序！,零售，社区团购，群接龙，社群电商,3588.0,1个月,⭐正式合作版⭐⭐带直播功能,⭐正式合作版⭐⭐带直播功能,2.0,社区 团购 社群 团购 线 上线 下 双模式 后台 自由 配置 配送 方式 IT 链 服务中心 天下 没有 难 做 小程序,1,3
【三网语音验证】语音验证码-语音播报验证码-语音验证码接口-语音验证码服务-语音验证码API,【语音验证码 语音播报验证码 语音验证码接口 语音验证码服务 语音验证码API】支持移动联通电信，清晰播报语音、高并发、安全稳定，应用于用户注册、登录认证、交易支付、密码找回等场景。,,0.061538,1年,"188.00元/3,055次",0.061538,0.0,语音 验证码 语音 播报 验证码 语音 验证码 接口 语音 验证码 服务 语音 验证码 API 支持 移动 联通 电信 清晰 播报 语音 高 并发 安全 稳定 应用 用户注册 登录 认证 交易 支付 密码找回 场景,1,0
人工数据运维,人工数据运维,代维护,600000.0,1年,人工数据运维,人工数据运维,2.0,人工 数据 运维,1,2
白银价格,上海黄金交易所、上海期货交易所、香港金银业贸易场、银行账户黄金、伦敦金、银价格、货币贵金属等市场白银价格行情,,0.00198,1年,"198.00元/100,000次",0.00198,0.0,黄金 交易所 期货 交易所 香港 金银 业 贸易 场 银行 账户 黄金 伦敦 金银 价格 货币 贵金属 市场 价格行情,1,1
人脸识别检测及属性分析,本服务提供以下功能: 人脸检测：检测出图片中人脸及标记出位置信息。人脸关键点：找出人脸的核心关键点信息，及68个详细关键点信息。,人脸识别,0.01,1年,1.00元/100次,0.01,0.0,服务 以下 人脸 检测 检测 图片 中 人脸 标记 位置 信息 人脸 关键点 找出 人脸 核心 关键点 信息  详细 关键点 信息,1,0
【H5响应式企业网站】高效建站一次性收费 企业官网 推广营销型建站,【自助建站】多模响应式网站，响应AMP手网站、MIP手机网站，企业网站建设，营销型网站；免费模版、免费云空间 ；高级效建站一次性收费 咨询热线：18661939702,响应式网站，网站建设，H5响应式网站，企业网站建设,1480.0,1年,H5响应式网站企业版（美国/香港服务器任选）,H5响应式网站企业版（美国/香港服务器任选）,2.0,自助 建 站 多模 响应 式 网站 响应 AMP 手 网站 MIP 手机 网站 网站 建设 营销 型 网站 免费 模版 免费 云 空间 高级 效建站 一次性 收费 咨询 热线 ,1,3
行驶证OCR识别,识别行驶证信息。正本包括所有人、地址、使用性质、品牌、发动机、车辆类型、车牌、VIN码、注册日期等；副本包括检验记录、总质量、整备质量、车牌、核定载客数、核定载质量、档案编号等,,0.15,1年,15.00元/100次,0.15,0.0,识别 行驶证 信息 正本 所有人 地址 性质 品牌 发动机 车辆 类型 车牌 VIN 注册 日期 副本 检验 记录 总 质量 整备 质量 车牌 核定 载客 数 核定 载 质量 档案 编号,1,1
【精品推荐】百度MIP手机网站+百度智能小程序,易营宝MIP移动网站是一套基于百度MIP、熊掌号而开发的网站智能自助搭建系统，移动网站使用MIP标准的网页，能快速让你的网站被百度收录，同时一键制作百度智能小程序。易营宝MIP移动网站所有页面都是经过SEO优化后的，用户可以在短时间内搭建一整套移动版的百度MIP网站,微信小程序，其他网站定制，百度MIP手机网站，百度智能小程序,1600.0,1年,营销版MIP手机网站,营销版MIP手机网站,2.0,易营宝 MIP 移动 网站 一套 基于 百度 MIP 熊掌 号 开发 网站 智能 自助 搭建 系统 移动 网站 MIP 标准 网页 快速 网站 百度 收录 一键 制作 百度 智能 小程序 易营宝 MIP 移动 网站 所有 页面 都 SEO 优化 后 用户 短时间 内 搭建 一整套 移动 版 百度 MIP 网站,1,0
Windows server 2012 R2 标准版 64位中文版 纯净版（不含激活码）,"1、微软官方100纯净版镜像。
2、2012R2最新系统。
3、不含激活码，需自行激活",,0.0,-1,-1,-1,, 微软 官方  纯净 版 镜像 R 最新 系统  不含 激活码 需 自行 激活,1,1
腾讯HR助手（SaaS版）,腾讯HR助手提供围绕核心人事信息管理 、扫码入职、电子工资单、OKR目标管理、远程面试、团队贺卡、360评估、背景调查、薪酬管理、考勤管理、员工关怀、企业门户、企业通知公告等核心场景的数字化服务，帮助企业实现HR数字化从0到1的跨越！,人力资源,300.0,-1,-1,-1,,腾讯 HR 助手 围绕 核心 人事 信息管理 扫码 入职 电子 工资单 OKR 目标 管理 远程 面试 团队 贺卡  评估 背景 调查 薪酬 管理 考勤 管理 员工 关怀 门户 通知 公告 核心 场景 数字化 服务 帮助 实现 HR 数字化   跨越,1,3
电影票外卖劵分销CPS小程序开发,"1自购省钱,分享赚钱,躺赢的合作模式
2外卖超值联盟红包接入
3到餐爆品多时段秒杀/外卖
4外卖接入CPA数据
5外卖接入实时订单
60服务费,所有官方返佣让利给客户",,15000.0,1次,小程序,小程序,1.0, 自购 省钱 分享 赚钱 躺 赢 模式  外卖 超值 联盟 红包 接入  到餐 爆品 时段 秒杀 外卖  外卖 接入 CPA 数据  外卖 接入 实时 订单  服务费 所有 官方 返佣 让利 客户,1,1
【卓曼科技】OCR图片文字识别接口,"【OCR图文识别】可根据您的业务需求调用OCR技术接口，精准识别图片文字，将图片里所有的通用文字、手写文字，按自左到右、从上到下的顺序全部解析出来，并辅以格式清洗，助力企业降低人工录入成本，提升输入效率。
",,0.0044,1年,"88.00元/20,000次",0.0044,0.0,OCR 图文 识别 业务 需求 调用 OCR 技术 接口 精准 识别 图片 文字 图片 里 所有 通用 文字 手写 文字 按自 左到 右 从上到下 顺序 全部 解析 出来 辅以 格式 清洗 助力 降低 人工录入 成本 提升 输入 效率,1,3
TIKTOK直播网络专线,美国/马来/日本/韩国/新加坡/印尼/越南/泰国/英国节点出口任选一个,,1.0,-1,-1,-1,,美国 马来 日本 韩国 新加坡 印尼 越南 泰国 英国 节点 出口 任选,1,1
工智道365-培训管理,基于云原生，提供多样化的功能支持满足企业内部员工、承包商及外来访客人员等化工安全培训合规要求的线上线下一体化平台。,,50000.0,1年,专业版,专业版,2.0,基于 云 原生 多样化 支持 满足 内部 员工 承包商 外来 访客 人员 化工 安全 培训 合规 要求 线 上线 下 一体化 平台,1,0
工业外观质检一体机,"针对工业产品外观缺陷的检测痛点和难点，基于多轴联动控制和人工智能技术而推出的软硬一体化智能质检通用解决方案。
",,0.0,-1,-1,-1,,针对 工业 产品 外观 缺陷 检测 痛点 难点 基于 多轴 联动 控制 人工智能 技术 推出 软硬 一体化 智能 质检 通用 解决方案,1,3
天天预约——旅游景点预约小程序,专业为旅游景点设定， 性价比最优性能极佳的预约系统，互联网+景区一套科学的saas服务流程管理系统。核心功能：无需开发一键启用，三分钟免费注册小程序、店铺DIY可视化搭建、限时秒杀、积分抵现、优惠券、限时秒杀、预约表单、员工智能排班、一单一码、一单多码、一键发圈、开单、附件等更多,在线预约，景区票务，微信小程序预约，游乐园预约,0.0,7天,景区预约,景区预约,2.0,专业 旅游景点 设定 性价比 最优性 极佳 预约 系统 互联网 景区 一套 科学 saas 服务 流程 管理系统 核心 无需 开发 一键 启用 三分钟 免费 注册 小程序 店铺 DIY 可视化 搭建 限时 秒杀 积分 抵现 优惠券 限时 秒杀 预约 表单 员工 智能 排班 单一 码一单 多码 一键 发圈 开单 附件 更,1,3
银行卡基本信息查询-银行卡归属地查询-开户行查询-银行联行号查询-银行卡类型-卡bin解析,通过银行卡号查询银行卡基本信息、银行卡归属地、卡种、卡类型、发卡行名称、总行的联行号、银行logo、官网地址、电话等基本信息，卡bin库实时更新，数据精准，支持国内外所有银行的查询，速度快、支持高并发。,,0.005,1年,1.00元/200次,0.005,0.0,银行卡 号 查询 银行卡 基本 信息 银行卡 归属 地卡种 卡 类型 发卡行 总行 联行 号 银行 logo 官网 地址 电话 基本 信息卡 bin 库 实时 更新 数据 精准 支持 国内外 所有 银行 查询 速度 支持 高 并发,1,0
Redis集群安装部署,群集环境部署：根据业务场景分析，提供操作系统及应用群集部署，保障服务器高可用性及可负载性。,环境配置，安装与设置，安装与配置，JAVA环境配置，Redis集群安装部署,10.0,1次,redis单节点安装,redis单节点安装,1.0,群集 环境 部署 业务 场景 分析 操作系统 应用 群集 部署 保障 服务器 高可用性 负载 性,1,2
多功能SaaS电商商城 | 专业B2C商城 | 会员营销 分销商城,支持PC、手机、公众号、多级分销等多种热门场景，全营销支持，分销、优惠卷、满减、打折、搭配购买、赠品、会员营销、会员积分、积分购买、积分抵现等，让企业建设商城更简单快捷，更贴近消费者。互联网及移动互联网用户全接触。,B2C商城，分销商城，电商网站，商城系统,2999.0,1年,2年,2年,2.0,支持 PC 手机 公众 号 多级 分销 热门 场景 全 营销 支持 分销 优惠卷 满减 打折 搭配 购买 赠品 会员 营销 会员 积分 积分 购买 积分 抵现 建设 商城 更 简单 快捷 更 贴近 消费者 互联网 移动 互联网 用户 全接触,1,0
直播拍摄驻场服务_企业直播_视频直播_活动直播现场服务,保利威直播现场，5年CCTV微视春晚直播技术支持，超万场活动拍摄经验。为您提供从策划、拍摄、直播服务到现场执行、数据交付的直播现场服务，全程把控直播效果，服务地域覆盖全国数十个省市级地区，为您提供专业且省心的直播现场服务。,活动直播，直播拍摄，峰会直播，直播驻场,99.0,1次,直播服务定制版-2,直播服务定制版-2,1.0,保利 威 直播 现场  年 CCTV 微视 春晚 直播 技术支持 超万场 活动 拍摄 经验 策划 拍摄 直播 服务 现场 执行 数据 交付 直播 现场 服务 全程 控 直播 效果 服务 地域 覆盖全国 数十个 省市级 地区 专业 省心 直播 现场 服务,1,3
微信小程序开发,"1：提供定制2：多套模板可选,多项营销活动3 客服电话：18921151291 QQ：2850837961",按需定制，小程序定制,600.0,1年,小程序开通服务费,小程序开通服务费,2.0, 定制  多套 模板 选 多项 营销 活动  客服 电话 QQ,1,0
展示版小程序-教育行业,宝盒小程序是一款可以实现五站合一的小程序制作软件。拥有13年建站经验，深入开发和挖掘小程序在 营销上的优势，轻松实现PC网站+手机网站+微信+APP+小程序的融合，实现全网营销。,,1419.0,1年,4年,4年,2.0,宝盒 小程序 一款 实现 五 站 合一 小程序 制作 软件 拥有  年 建站 经验 深入 开发 挖掘 小程序 营销 上 优势 轻松 实现 PC 网站 手机 网站 微信 APP 小程序 融合 实现 全网 营销,1,0
【IT链】同城商联黑卡,VIP折扣、集卡、砍价、团购、报名活动、购买门票、头条软文推广功能,通用,2500.0,1年,【IT链】巨划算⭐买一年送一年,【IT链】巨划算⭐买一年送一年,2.0,VIP 折扣 集卡 砍价 团购 报名 活动 购买 门票 头条 软文 推广,1,1
微信小程序小店版,"帮助门店快速实现网上开店,线上推广引流到网上,解决线上购买线下体验的需求.",,99.0,1年,增值服务(包制作),增值服务(包制作),2.0,帮助 门店 快速 实现 网上 开店 线上 推广 引流 网上 解决 线上 购买 线下 体验 需求,1,2
微信小程序商城Plus版,数十种推广促销工具，百余种组合营销模式，为企业提供一整套电商解决方案。,电商，零售，多门店，拼团,1980.0,1年,商城定制版,商城定制版,2.0,数十种 推广 促销 工具 百余种 组合 营销 模式 一整套 电商 解决方案,1,0
金融安全上云解决方案 | 安全架构,金融云安全上云解决方案，一站式上云技术服务，高级技术顾问，BAT级专家，高级运维、开发、DBA、腾讯云专家，提供无缝式技术方案评测和咨询。,架构设计,60000.0,1次,金融解决方案,金融解决方案,1.0,金融 云 安全 解决方案 一站式 技术 服务 高级 技术顾问 BAT 专家 高级 运维 开发 DBA 腾讯 云 专家 无缝 式 技术 方案 评测 咨询,1,0
云数据库审计与风险控制系统,安恒数据库审计与风险控制系统主要价值体现：定期评估数据库漏洞，防止数据库密码破解数据库操作全审计，不放弃任何可疑统方行为双向审计，准确判断违规统方行为丰富的审计报表，满足纠风办审计需求短信、邮件告警，第一时间了解违规统方行为,数据库审计,32600.0,1年,1200C1,1200C1,2.0,安恒 数据库 审计 风险 控制系统 主要 价值 体现 定期 评估 数据库 漏洞 防止 数据库 密码 破解 数据库 操作 全 审计 不 放弃 可疑 统方 行为 双向 审计 准确 判断 违规 统方 行为 丰富 审计 报表 满足 纠风办 审计 需求 短信 邮件 告警 第一 时间 了解 违规 统方 行为,1,3
中云微迅-微同城小程序,同城信息，一键发布，精准定位；用户管理便捷，后台数据清晰；,社区，资讯，咨询服务,328.5,10天,基础版,基础版,2.0,城 信息 一键 发布 精准 定位 用户 管理 便捷 后台 数据 清晰,1,2
保险行业 项目管理SaaS | 全程云PM（项目管理云）  ,"简单项目计划用任务管理，高效简单执行清晰，有进度有要求有结果。复杂多层时间要求严格的项目计划，采用项目管理模块，提供多级任务管理，关键路径管理、项目预算管理,项目资源管理，项目总结评价等项目管理应用。",项目管理,9120.0,1年,20用户,20用户,2.0,简单 项目 计划 任务 管理 高效 简单 执行 清晰 进度 要求 复杂 多层 时间 要求 严格 项目 计划 采用 项目管理 模块 多级 任务 管理 关键 路径 管理 项目 预算 管理 项目 资源管理 项目 总结 评价 项目管理 应用,1,3
系统性能调优 数据库优化 网站性能优化 高并发业务系统评估,系统性能测试将通过对您服务器的CPU、内存、硬盘、网络、系统内核性能进行测试，根据实际生产环境的现状做性能调优，nginx优化性能提升，apache网站优化，MySQL数据库优化。,站点调优,1000.0,1次,环境部署,环境部署,1.0,系统 性能 测试 服务器 CPU 内存 硬盘 网络系统 内核 性能 进行 测试 实际 生产 环境 现状 做 性能 调优 nginx 优化 性能 提升 apache 网站 优化 MySQL 数据库 优化,1,3
OCR单面识别/身份证正面识别,识别身份证正面照片，返回正面的姓名和身份证号。,OCR,0.08,1年,"80.00元/1,000次",0.08,0.0,识别 身份证 正面 照片 返回 正面 姓名 身份证号,1,0
企业工商信息,企业注册时间、注册资本、注册地址、法人、经营范围、统一社会信用代码（税号）等工商信息查询，包含股东信息、企业主要人员信息、公司变更记录等，数据约8000万。可通过输入企业名称返回税号等信息。,,0.2,1年,20.00元/100次,0.2,0.0,注册 时间 注册资本 注册 地址 法人 经营范围 统一 社会 信用 代码 税号 工商 信息 查询 包含 股东 信息 主要 人员 信息 变更 记录 数据 约  万可 输入 返回 税号 信息,1,0
人脸比对-极速数据,提供2张人脸照片，比对他们的相似度。,图片识别,0.095,1年,"95.00元/1,000次",0.095,0.0, 张 人脸 照片 相似 度,1,1
云迁移 数据迁移 迁云服务 上云迁移,云产品工具，数据库迁移DTS、数据迁移等，第三方工具迁移，MoveSure、数据传输工具、备份恢复工具，镜像迁移，支持物理、VMDK、VHD、Qcow2、RAW产品说明,数据库迁移,24000.0,1次,5-10台,5-10台,1.0,云 产品 工具 数据库 迁移 DTS 数据 迁移 第三方 工具 迁移 MoveSure 数据传输 工具 备份 恢复 工具 镜像 迁移 支持 物理 VMDKVHDQcowRAW 产品 说明,1,3
【软件定制开发】互联网众筹平台,软件定制开发，互联网众筹的方式募集资金，用于购买实物资产，然后将实物资产处置之后，投资人将所获得利润按照投资比例进行分红，实现了投资本金加收益的退出。交易流程安全、透明，支持主流第三方支付系统。,系统开发，定制APP,200000.0,1次,次,次,1.0,软件 定制 开发 互联网 众筹 方式 募集 资金 用于 购买 实物 资产 实物 资产 处置 之后 投资人 获得 利润 投资 比例 进行 分红 实现 投资 本金 加 收益 交易 流程 安全 透明 支持 主流 第三方 支付 系统,1,0
菜虫网络·政务民生小程序智慧党建小程序,智慧政务是政务服务小程序解决方案，小程序便捷分享的特性能够很大程度的缩短政府与民众的互动距离， 政务模块能够帮助政府进行政府形象展示，推进阳光政务，方便政民互动，为市、县区、乡镇级政府建立统一的政府信息公开平台，简化群众办事环节、提升政府行政效能、畅通政务服务渠道，实现向“智慧政,党建，政务，智慧党建，民生，智慧政务,15573.33333,30天,一年正式版,一年正式版,2.0,智慧 政务 政务 服务 小程序 解决方案 小程序 便捷 分享 特性 能够 很大 程度 缩短 政府 民众 互动 距离 政务 模块 能够 帮助 政府 进行 政府 形象 展示 推进 阳光 政务 方便 政民 互动 市县 区 乡镇级 政府 建立 统一 政府 信息 公开 平台 简化 群众 办事 环节 提升 政府 行政 效能 畅通 政务 服务 渠道 实现 智慧 政,1,3
照坤智能医疗行业通讯及系统解决方案,按需定制，贴切实际运用场景，更符合使用习惯的系统。“管家式”服务，从前期方案设计到后期复盘运维，流程清晰，专业团队根据企业实际业务及技术需求进行一系列定制化服务，打造最符合企业实际运用的系统，不仅仅是系统，更是您的场景管家。,,2000.0,1次,行业解决方案,行业解决方案,1.0,需 定制 贴切 实际 运用 场景 更 符合 习惯 系统 管家 式 服务 前期 方案设计 后期 复盘 运维 流程 清晰 专业 团队 实际 业务 技术 需求 进行 一系列 定制 服务 打造 最 符合 实际 运用 系统 不仅仅 系统 更是 场景 管家,1,0
SSL证书部署 更新 报错修复,为您提供一站式ssl证书申请及配置服务，让网站能访问到https加密站点。针对已有ssl证书但是过期站点，提供更新证书服务，在最短时间恢复业务访问。,SSL，HTTPS访问，ssl证书部署，证书更新，证书申请,200.0,1次,证书部署或更新（无证书）,证书部署或更新（无证书）,1.0,一站式 ssl 证书 申请 配置 服务 网站 访问 https 加密 站点 针对 已有 ssl 证书 过期 站点 更新 证书 服务 最 短时间 恢复 业务 访问,1,0
数据迁移 网站搬家服务,提供虚拟主机网站上云迁移，云服务器数据迁移及数据库数据迁移，确保数据安全全量转移到新平台。,上云迁移，网站搬家，迁移，数据转移,10.0,1次,服务器数据迁移,服务器数据迁移,1.0,虚拟主机 网站 迁移 云 服务器 数据 迁移 数据库 数据 迁移 确保 数据安全 全量 转移 平台,1,0
【聚美智数】企业开票接口-批量开票接口-自动开票接口-全电发票开具,【企业自动开票接口批量开票接口全电发票】满足企业自动开票及批量开票需求，通过调用API接口实现自动化开票，省去手工录入开票工作，支持全电发票开具，无需插入税盘。（需企业所在地支付全电发票）—— 我们只做精品！,,5e-05,1年,"5000.00元/99,999,998次",0.00005,0.0,自动 开票 接口 批量 开票 接口 全电 发票 满足 自动 开票 批量 开票 需求 调用 API 接口 实现 自动化 开票 省去 手工 录入 开票 工作 支持 全电 发票 开具 无需 插入 税盘 需 所在地 支付 全电 发票 只 做 精品,1,3
微信小绿盒W3,微信小绿盒W3方便简捷，防抹零防逃单,,180.0,1次,W3扫码盒子,W3扫码盒子,1.0,微信 小绿盒 W 方便 简捷 防抹 零防 逃单,1,1
支付宝L6收款语音播放器,开机自动联网，到账播报，取消支付有提醒,,118.0,1次,支付宝L6,支付宝L6,1.0,开机 自动 联网 账 播报 取消 支付 提醒,1,3
ShinData DMP数据库云管理平台,ShinData DMP数据库云管理平台定位一站式数据库全生命周期管理dbPaaS平台，帮助用户转变传统模式，建立起自动化、自助化和智能化的数据库管理体系。平台支持多种类型数据库，为用户提供了从安装部署、资源管理、监控告警、性能分析、智能巡检到智能化运维等综合能力。,,28000.0,1次,数据库节点数,数据库节点数,1.0,ShinDataDMP 数据库 云 管理 平台 定位 一站式 数据库 全 生命周期 管理 dbPaaS 平台 帮助 用户 转变 传统模式 建立 自动化 自助 智能化 数据库 管理体系 平台 支持 多种类型 数据库 用户 安装 部署 资源管理 监控 告警 性能 分析 智能 巡检 智能化 运维 综合 能力,1,0
企业开票信息查询-发票抬头-开票信息搜索-增值税专票开票信息-企业税号查询标准版,【企业开票信息查询 发票抬头信息 增值税专票信息】输入企业名称，查询该企业的开票信息。返回公司抬头信息，税号、地址、电话、银行账号、银行名称等完整开票信息。—— 我们只做精品！,,0.01,1年,0.01元/1次,0.01,0.0,开票 信息 查询 发票 抬头 信息 增值税 专票 信息 输入 查询 开票 信息 返回 抬头 信息 税号 地址 电话 银行账号 银行 完整 开票 信息 只 做 精品,1,3
企业行政处罚数据接口,来自各地政府发布的各类行政处罚数据，包括环保，安全，食药监等等各种类型。,数据服务,0.05,1年,10.00元/200次,0.05,0.0,来自 各地 政府 发布 各类 行政处罚 数据 环保 安全 食药监 各种类型,1,3
三网短信通知-大容量短信API接口-通知短信群发-短信验证码升级版【天眼数聚】,【短信通知-短信API接口-短信验证码-短信群发行业-短信会员短信】支持三大运营商，可发送短信验证码及短信通知，短信通知增强版大容量接口，可发134字内容短信。（如内容不超过70字请使用标准版短信接口）短信模板报备请联系客服或添加微信。,,0.1,1年,2.00元/20次,0.1,0.0,短信 通知 短信 API 接口 短信 验证码 短 信群发 行业 短信 会员 短信 支持 三大 运营商 发送 短信 验证码 短信 通知 短信 通知 增强版 大容量 接口 可发  短信 不 超过  请 标准版 短信 接口 短信 模板 报备 请 联系 客服 添加 微信,1,3
VIN原厂配置查询,输入VIN车辆识别代码，查询车辆的品牌、车系、车型、销售代码、配置列表等信息。此返回为原厂配置信息，每个品牌返回的字段略有不同。目前支持奔驰、宝马、现代、起亚、凯迪拉克、别克、雪佛兰等品牌。,车型识别，车辆查询,0.68,1年,"680.00元/1,000次",0.68,0.0,输入 VIN 车辆 识别 代码 查询 车辆 品牌 车系 车型 销售 代码 配置 列表 信息 返回 原厂 配置 信息 每个 品牌 返回 段 略有不同 目前 支持 奔驰 宝马 现代 起亚 凯迪拉克 别克 雪佛兰 品牌,1,3
【企业打款验证】企业对公账户打款验证_企业银行卡账户验证_企业账户信息认证验证,【庆圣诞、迎新年】【返回精准，全程人工支持】企业打款验证用于验证企业银行账号的一致性及归属性，返回精准。 提供收款方账户、收款方公司名称、收款方联行号，平台向该收款账户打一笔随机金额，财务查询金额进行验证。 需点击【企业对公银行账户认证】接口配合使用，接口链接见商品详情！,,5.0,1年,5.00元/1次,5,0.0,庆 圣诞 迎新年 返回 精准 全程 人工 支持 打款 验证 用于 验证 银行账号 一致性 归属 性 返回 精准 收款 方 账户 收款 方 收款 方 联行 号 平台 收款 账户 一笔 随机 金额 财务 查询 金额 进行 验证 需 点击 对公 银行 账户 认证 接口 配合 接口 链接 见 商品 详情,1,3
