name,desc,tags,price,cicle,spec,new_spec,pay_type
北京天弛-专线,"为企业提供端到端数据监控运维；
提供7*24小时不间断监控服务；",专线接入，代维护，云专线,19800,1个月,200M 专线代运维,200M 专线代运维,2
聚来客·电商零售+多门店+门店收银+直播带货+多种营销电商,"一键生成小程序+公众号+APP+H5。30+技术团队，个性化需求支持定制开发。单店多店/自营多商户通用；会员拉新、充值、卡券、积分、优惠券、红包、抽奖、拼团、预约、秒杀、砍价、等级分销、社区团购，,社交送礼，股东分红，团队分红。收银台。直播带货，全行业解决方案；
",电商，超市，零售，多门店，多商户,5110,7天,新零售启航版,新零售启航版,2
【天眼数聚】企业三要素校验-企业工商三要素核验-企业工商三要素验证实时版,【企业工商三要素校验】输入的企业名称、法人名称、社会统一信用代码或注册号，校验此三项是否一致，直连官方，权威核验。,企业查询,0.066667,1年,1.00元/15次,0.066667,0
【天眼数聚】活体检测-活体判断-人脸比对-实人认证-人脸识别-刷脸认证,【活体检测、实人认证、活体识别、人证合一、人脸比对、刷脸认证、人脸认证、真人认证】活体检测接口，通过传入动作视频（张嘴、摇头等），判断是否为真人，检测成功会返回一张人脸照片用于下一步比对验证。接口具有反欺诈功能，能有效抵御Hack攻击，支持API及H5模式，通常与人证比对接口搭配,图像识别,0.05,1年,1.00元/20次,0.05,0
Linux数据恢复 文件目录误删找回 rm删除指令误操作恢复服务,"提供Linux/Windows系统下误删文件恢复找回，误格式化重装后数据找回恢复，数据文件损坏修复，勒索病毒感染数据文件修复等服务，支持EXT3,EXT4,NTFS,XFS等格式。",数据恢复，数据找回，linux数据删除恢复，linux数据恢复，文件找回,1500,1次,windows文件误删恢复,windows文件误删恢复,1
友客来・剧本杀小程序｜免费一键申请认证｜结合门店营销玩法提升业绩,「友客来」为剧本杀行业定制私域获客系统，搭建企业小程序官网，自带推广能力，提供多种营销玩法裂变，让客户分享到社群、朋友圈，吸引潜在更多潜在人群关注，轻松获取精准客户。,剧本杀小程序,103242.8571,7天,门店标准版,门店标准版,2
智慧商业商城会员电商新零售小程序商城APP社交电商系统,白小极Saas服务覆盖各行业微信小程序、公众号、APP，提供全方位的小程序成新解决方案主要包括电商、o2o服务、餐饮外卖、预约排队、运动健身、婚纱摄影等。,,298,10年,精英永久授权版,精英永久授权版,2
云镜像重装服务,为已有购买的云服务器提供镜像市场收费镜像的服务，让您可以在重装系统时候选择我司的镜像系统。,镜像配置，镜像代维，镜像制作，重装系统，镜像更换,100,1次,镜像定制,镜像定制,1
银行卡二要素实名认证-银行卡二要素验证,【银行卡二要素验证-银行卡二要素实名认证】验证银行卡号、姓名是否一致，支持所有银行的借贷记卡。银行卡二要素验证返回银行卡基本信息，包括：银行英文缩写，卡种类、卡类型、归属地，logo，电话等信息。接口直连银联，官方数据源更可靠，银行级别安全、更稳定。,,0.2,1年,1.00元/5次,0.2,0
全球天气数据查询（16天逐小时）,天气数据覆盖全球任意点，16天逐小时天气数据超长预测；我公司自主开发建立的气象数据监测模型，包括天气实况、逐日天气预报、24小时天气预报、紫外线等多项实时数据。数据刷新频次高，准确性高，数据种类丰富。自主选择数据套餐，高价值，低售价，性价比高。,天气查询，行业气象服务，天气预报查询,0.000399,1年,"3.99元/10,000次",0.000399,0
软件系统日常维护服务,我们能为用户的系统提供全方位的日常维护、修改bug、升级版本等操作，需要联系客服评估后再拍下来。,数据服务，压力测试，代维护,36500,1天,日常运维,日常运维,2
高端定制开发解决需求小程序APP移动应用,专业提供高端定制开发服务/解决任何需求,按需定制，小程序定制,40555.55556,45天,私有云旗舰,私有云旗舰,2
宝盒小程序商城版,3分钟快速生成小程序，支持小程序直播、附近的小程序、关键词搜索、下拉发现、公众号关联、朋友圈广告、扫码分享等众多流量入口，让更多客户找到您。,,1599,1年,商城版套餐（送域名+虚拟主机）,商城版套餐（送域名+虚拟主机）,2
小麦应用智慧零售小程序,小麦应用打造微信、支付宝、百度等多平台小程序，为各行业提供专业的解决方案，主要包括电商、o2o服务、餐饮外卖、酒店、医疗、教育、美业等。,电商，零售，多门店，多商户，拼团,488,1年,专业版,专业版,2
企业网站企业商城建设服务【1v1定制】【专业建站团队】,标配云服务器+CDN加速，一站搭建PC网站商城、手机商城、微信商城、小程序商城，微信支付/支付宝支付/网银支付/Paypal支付等主流支付方式，秒杀/团购/分销/拼团/积分等多种营销活动玩法,,52.14285714,7天,自助版,自助版,2
【网站建设/公司企业网页做网站制作/仿制建站/双语建网站】全包一条龙,"1对1设计、中小企业官网、适合百度营销推广、PC+手机+微信+商城+分销+小程序+ APP，小程序众多流量入口,集展示互动、交易为一体，后期维护简单，安全有保障！",企业展示,1,1年,企业营销版【云定制】,企业营销版【云定制】,2
壹佳店 · 宠物家政小程序,分段预约、砍价拼团、派单抢单、分销,,680,1年,旗舰版,旗舰版,2
小桔智慧官网小程序+H5,所有模板效果都是通过栏目和导航的多种展示样式组合实现自由灵活，实时预览更新。,企业官网,0,7天,运营版,运营版,2
微信小程序定制开发/支持按需定制小程序,专业高端定制开发解决需求、私有化部署、独立运行,按需定制，小程序定制，定制开发,584000,75天,安卓+苹果APP高端定制,安卓+苹果APP高端定制,2
易源数据-自然语言处理,自然语言处理（Natural Language Processing）是帮助用户高效处理文本的人工智能技术，这项技术可以帮助用户进行舆情内容识别，情感属性量化分析，电商领域文本翻译，文本关键信息抽取，文本快速分类，词性语法分析，相似度检测等,文本分析,0.001,1年,"10.00元/10,000次",0.001,0
H5响应式网站建设 | 企业官网通用模板 | 建筑行业模板,H5响应式网站建设，后台可视化编辑，操作简单，功能强大，设计师一对一服务，不满意全额退款。可升级设计师1v1个性化定制服务。,手机网站，企业网站，营销网站，微信网站，H5网站,1280,1年,自助版中国香港机房,自助版中国香港机房,2
【天眼数聚】银行卡OCR识别-银行卡图片识别高清版,银行卡图片OCR识别银行卡图像识别银行卡信息识别银行卡文字识别】精准识别银行卡图片上的文字信息，包括银行卡号、卡类型、银行名称等信息，准确率99.9%。格式为 JPG(JPEG)，BMP，PNG，GIF，TIFF（小写也可以），宽和⾼大于 8px，⼩于等于4000px,银行卡认证，文字识别，OCR，银行卡OCR，银行卡图片识别,0.02,1年,1.00元/50次,0.02,0
驾考模拟题库,公安部最新驾照考试题库，分小车、客车、货车、摩托车4类，科目一和科目四2种。可按顺序或者随机获取。,,0.00198,1年,"198.00元/100,000次",0.00198,0
展示建站SaaS服务解决方案,SaaS化企业官网建设服务，五端同步，拖拽式编辑，简单易用,企业网站,899,1年,标准版【中国香港节点】,标准版【中国香港节点】,2
全国省市县行政区划分,最新全国省、市、县行政区划信息，包含区号、邮编等信息，同时包含国外的国家和地区。※本接口非盈利，建议使用“获取全部区域”接口，一次获取全部信息。,,0.00045,1年,"9.00元/20,000次",0.00045,0
HTTPS配置 域名备案 HTTPS证书 SSL证书 加密CA证书 安装服务 网站证书 网站配置,"HTTPS配置 域名备案 HTTPS证书 SSL证书 加密CA证书 安装服务 网站证书 网站配置

https ssl 网站泛域名证书长期 CA证书 证书安装 免费http 301 跳转 证书配置 ; 可实现云上SSL证书配置，专业工程师一对一服务",证书安装，HTTPS配置域名备案HTTPS证书SSL证书加密CA证书安装服务网站证书网站配置,200,1次,单次配置+1年单域名证书,单次配置+1年单域名证书,1
梦行万能表单,梦行万能表单系统，适用于各种报名，信息录入，登记管理等，操作方便，管理方便,系统工具，其它工具,98,1年,万能表单系统高级版,万能表单系统高级版,2
银行卡实名认证接口-银行卡三/四要素核验接口-银行卡信息一致性核验,"银行卡三要素验证接口是通过比对姓名、身份证号、银行卡号的一致性，核验银行卡持卡人身份信息的真伪。

银行卡四要素认证接口是通过比对姓名、身份证号、银行卡号、手机号（银行预留）的一致性，核验银行卡信息真伪。

",银行卡实名认证认证，银行卡三要素认证，银行卡四要素认证，银行卡实名认证接口，银行卡接口,0.5,1年,100.00元/200次,0.5,0
银行卡OCR识别_银行卡_OCR_银行卡识别_银行卡OCR_银行卡图像识别,【银行卡OCR识别-银行卡图像识别-银行卡卡号提取】自动定位银行卡图片区域，支持识别银行卡正面信息，包含银行卡号、银行卡类型、银行名称等信息，识别银行卡准确率高达99%以上。遇到问题随时联系客服提供支持。,银行卡OCR，银行卡识别，银行卡卡号识别，银行卡OCR识别，银行卡提取,0.01,1年,0.01元/1次,0.01,0
标准化网站搬家数据迁移 网站搬家 数据库迁移 导入导出,网站程序迁移，数据迁移，数据库迁移，网站搬家，环境配置，网站搬家工具，本地服务器搭建，自建搭建服务器，网站搬家。北京可上门服务,环境配置,650,1次,0-10G,0-10G,1
Windows 11 企业版 64位中文版 win11 V21H2,微软已于2021年10月5日正式发布Windows11系统。本镜像为最新正式版Windows11【企业版】64位中文版纯净系统，系统版本号21H2 ，Build：22000.194 ， 截止2021年10月19日已安装所有更新补丁。镜像完美兼容腾讯云CVM，相比Windows10,,0,-1,-1,-1,
腾讯云服务器代运维 云主机代维 中小企业服务器维护 运维服务包年 网站维护外包,"腾讯云服务器专业代运维 云主机代维 中小企业服务器维护 运维服务包年 网站维护外包  腾讯云服务器代运维 服务器代维 、腾讯云主机代维 、云主机代维 、运维外包服务，7×24专业代运维服务，专业团队标准化运维服务，网站维护，服务器代维，安全代维，清除木马。
",代维护，网站维护外包，运维服务包年，腾讯云服务器代运维，云主机代维,24000,1个月,3个月,3个月,2
企业运维技术顾问,应用服务器运维技术顾问，为企业业务和应用提供技术咨询和指导、应急处理，为企业运营中的技术难题提供技术解决方案和技术咨询，节约企业硬件和人力维护成本，多名运维工程师7*24小时为您的业务保驾护航。,代维护,12000,1年,企业运维技术顾问（一年）,企业运维技术顾问（一年）,2
 银行卡识别_银行卡OCR文字识别_银行卡图像识别_快瞳科技,快瞳科技-银行卡OCR识别，银行卡专用识别模型，精准识别银行卡关键字段信息，结构化提取、输出可编辑文本。提供标准的、安全的接口服务，应对不同前端系统的接入请求，进行转换适配。,,0.08,1年,"80.00元/1,000次",0.08,0
车牌识别API_车牌OCR识别_车牌OCR文字识别_快瞳科技,快瞳科技-车牌识别，支持识别中国大陆机动车蓝牌、黄牌、绿牌、大型新能源、领使馆车牌、警牌、武警牌、军牌、港澳牌等的地域编号和车牌号，并结构化输出可编辑文本，识别准确率高，提供高并发、低延时响应。,,0.032,1年,"32.00元/1,000次",0.032,0
手机号携号转网查询-携号转网API-手机携号转网查询-运营商携号转网API-携号转网查询API接口,【手机号携号转网查询-携号转网API-运营商携号转网API查询接口】查询手机号码是否携号转网，支持移动、联通、电信三网运营商，同时返回所在城市、区号、邮编等手机归属地信息，实时连接运营商查询，官方数据源实时更新，更准确、更稳定。,,0.005,1年,1.00元/200次,0.005,0
添加网站备案号  ICP备案号悬挂  域名备案号悬挂  公安备案,专业人员为您悬挂网站网站备案号  添加ICP域名备案号   添加网站备案号添加   ICP备案号  域名备案号悬挂  公安网备案号,,100,1次,备案问题整改,备案问题整改,1
SSL证书安装 SSL证书部署 SSL证书配置 SSL证书申请 HTTPS证书安装 HTTPS证书部,提供专业SSL证书安装 SSL证书部署 SSL证书配置 SSL证书申请 HTTPS证书安装 HTTPS证书部署 HTTPS证书配置 HTTPS证书申请服务，网站实现安全HTTPS访问,小程序商城，https证书配置，SSL证书安装，SSL证书配置，HTTPS证书安装,300,1次,SSL证书申请一年DV单域名+配置,SSL证书申请一年DV单域名+配置,1
深圳小程序开发,深圳小程序定制，涵盖了android、ios、平板各种终端，满足不同场景的需要。小程序深圳本地开发团队，沟通高效，全程可控，质量有保证。,,0,1年,深圳小程序开发,深圳小程序开发,2
社保卡识别-社保卡OCR识别-社保卡信息高清识别-有解智能,支持对全国各大省市社保卡全部字段结构化识别服务，包括姓名、社会保障号码、卡号、发卡日期、芯片下方号码。,,0.0499,1年,"49.90元/1,000次",0.0499,0
小气候环境监测站,小气候环境监测站主要应用农业生产过程中对气象环境要素监测场景，远程设备重启；多要素环境参数实时采集；有线供电或太阳能供电；云平台和App数据查看，多站点数据对比分析；,,13000,1次,小气候环境监测站,小气候环境监测站,1
山西软件开发公司,公司主营业务有：软件开发、网站建设、小程序开发、系统集成、物联网系统、数字孪生平台、AI人工智能产品研发等。,,10000,1年,套,套,2
Linux应用管理实战,"《Linux应用管理实战》课程通过Linux系统知识点的讲解和实训强化，掌握Linux的基础维护知识。本课程围绕以下3个项目进行介绍：
项目01：软件管理实战；
项目02：典型web应用实战；
项目03：性能监控工具应用案例实战。",,44800,1次,32课时,32课时,1
智能助理机器人Pal,"坐席和客户的实际对话场景，Pal会智能识别不同角色内容，提供精准的客户画像信息，对全流程进行话术推荐、业务流程导航和坐席规范实时质检，指导坐席业务操作规范，以人机协作的模式帮助人工坐席高效完成咨询问答，提高坐席营销转化率，实现智能化的坐席新办公模式。
",,0,-1,-1,-1,
银行卡三要素实名认证-银行卡三要素验证-银行卡实名认证-银行卡三元素验证-银行卡3要素实名认证验证,验证银行卡号、姓名、身份证号是否一致，支持所有银行的借贷记卡【包含地方、商业银行】。支持银行卡三要素（三元素）的验证，并且返回银行卡基本信息，包括：银行英文缩写，卡种类、卡类型、归属地，logo，电话等信息。接口直连银联，纯实时交易，官方数据源更可靠，银行级别安全、更稳定。,实名认证，银行卡认证，银行卡实名认证，银行卡三要素实名认证,0.2,1年,1.00元/5次,0.2,0
【超级官网】企业官网品牌推广精美模板,未来鸟小程序覆盖各行业微信小程序，提供全方位的小程序成新解决方案主要包括电商、o2o服务、预约排队、运动健身、婚纱摄影等,企业官网，形象展示，小程序官网,36500,1天,官网云专业版,官网云专业版,2
【未来酒店】全国连锁会员储值系统,支持在线订房、一键入住、一键退款、退押金支持微信支付、模板消息。管理员实时收到新的订单信息，支持按日期维护房价和房间数量，会员储值。,酒店，旅游，通用，O2O，咨询,36500,1天,未来酒店-智慧酒店版,未来酒店-智慧酒店版,2
度慧PDF转Word等（OCR高级版）,"极速！500页的图片PDF做OCR转为Word，不超过5分钟，且每页转不漏页，速度甚至超过本地工具。
提供高并发高可靠的API，将PDF文档转换为Word/PPT/Excel/TXT等。
转换出来的文件尽可能的保持了PDF原有格式，强化了易读性。
OCR支持多语言。",,0.1,1年,"100.00元/1,000次",0.1,0
企业上云咨询服务,为您提供7×24小时的专业服务，以及多样化的支持计划和专家服务。了解云服务、云平台及云平台上的产品特性；分析上云对您的业务所带来的优势和不足，为您提供上云的解决方案的建议、费用的估计。www.shinru.cn 联系人： 庄小姐 联系方式：15920986378,数据迁移，网站迁移，架构设计，架构设计与实施,1000,1次,24小时咨询服务,24小时咨询服务,1
积分兑换系统,可用于会员积分兑换，包括PC+手机H5+公众号，另可加购小程序，APP,积分兑换商城，会员积分兑换系统,365,1年,3年,3年,2
WordPress安装配置,潍鲸科技为客户提供WordPress定制化安装服务。提供WordPress安装、基础环境配置、ftp、phpMyAdmin、安全加固、数据迁移，为客户提供一站式服务。,WordPress，LAMP，LNMP，网站环境安装，WordPress迁移,100,1次,WordPress安装配置,WordPress安装配置,1
HTTPS认证 HTTPS配置证书配置 SSL证书 CA证书 | 域名备案,HTTPS认证 HTTPS配置 证书配置 SSL证书 CA证书 网站HTTPS CA证书配置 SSL HTTPS,系统配置，证书安装，SSL证书，HTTPS配置证书配置，网站HTTPSCA证书配置SSLHTTPS,200,1年,配置+通配符域名证书,配置+通配符域名证书,2
一点通电商新零售购物小程序分销商城小程序,购买标准版，支持免费进行微信认证，节省300元/年。 核心功能：电商新零售购物分销商城小程序，限时秒杀，拼团，积分，小程序直播，一点通小程序 无需代码 一键生成 瞬间拥有！,生活服务，企业展示，电商零售，小程序商城,17728.57143,14天,标准版,标准版,2
全球海浪数据查询（16公里16天每小时）,全球海浪数据查询提供全球任意点，16天每小时16公里网格海浪数据查询；数据包含：浪高、浪方向、浪角度、浪周期、风浪浪高、风浪方向、风浪角度，风浪周期、涌浪1浪高、涌浪1方向、涌浪1角度、涌浪1周期、涌浪2浪高、涌浪2方向、涌浪3角度、涌浪4周期等；,天气查询，行业气象服务，天气预报查询，海浪数据,0.000399,1年,"3.99元/10,000次",0.000399,0
宝商云虚拟主机特价促销【全网特价】【海外/香港主机无需备案】【北京/杭州/深圳/青岛/香港/新加坡等,"√ 8线BGP机房  √ 速度更快 √ 99.999%数据可靠性  √ 云端安全防御服务  √ 快速备案，送备案时长
【宝商云虚拟主机，只为建站而生！永久促销，长期普惠】
【独享虚拟主机支持备案用时多久送多久（限国内节点）】
",服务器配置,1,1年,虚拟主机特惠A型/青岛【官网200元促销96元】【抢购资格每天限5名】,虚拟主机特惠A型/青岛【官网200元促销96元】【抢购资格每天限5名】,2
紫鲲SCRM【客户红包】,红包奖励持续带来企微客户增量,企业服务，系统工具，企业微信，私域运营，企微SCRM,0,1年,体验版,体验版,2
军官证识别-搜象OCR文字识别,对军官证进行字段结构化识别，支持新版、旧版；支持图片和PDF指定页识别，二者传参支持URL格式或BASE64字符串格式；支持图像自动分类，支持图像平面任意角度的旋转/倾斜。 ,证件识别，文字识别，OCR,0.06,1年,"60.00元/1,000次",0.06,0
度慧文档转网页HTML,提供高并发高可靠的API，将多种格式文档转为单文件HTML网页，文档显示样式在网页中都保留，网页中文字可选，电脑和手机都可查看，解决了手机上正确显示各种格式文档的痛点。支持多张图片做OCR后转为网页。,,0.1,1年,"100.00元/1,000次",0.1,0
微盛互动课堂小程序,课堂之外的加油利器,教育,2999,1年,d8-标准版,d8-标准版,2
网站安全检测 程序漏洞检测 渗透测试 病毒木马扫描 业务风险评估,为企业上云提供安全架构设计，安全方案设计，安全网络规划，代码安全管理，WEB安全防护,程序安全代维，一体化安全防护，木马检测，渗透测试,2000,1次,渗透测试,渗透测试,1
深信服虚拟下一代防火墙授权,六万在线用户的一致选择，自主创新，不断迭代，持续快速增长的虚拟下一代防火,下一代防火墙,16800,3个月,提供10M宽带防护,提供10M宽带防护,2
壹佳店 多商家收银配送小程序,多门店、分区域、多样化营销、扫码核销,,680,1年,旗舰版,旗舰版,2
壹佳店· 农业小程序,手机客服、拼团砍价、分销秒杀、商户入驻,,680,1年,旗舰版,旗舰版,2
数据库故障排查,管云拥有一支金牌运维服务团队，在故障排查方面拥有多年的技术沉淀与超强的排查能力，能快速高效的为用户解决实际问题。,漏洞排查,600,1次,定制,定制,1
信核InfoShare服务,信核InfoShare是面向企业级用户安全、高效的文件及项目管理平台。满足各种形式的文档集中管理需求，实现文件便捷共享，助力企业提升办公效率的同时提供以客户为中心的企业项目管理功能，通过赋予企业更完善的项目管理能力，有效提高企业收益、客户满意度。,数据处理,32400,1个月,InfoShare 100用户,InfoShare 100用户,2
数据恢复 数据找回 数据库优化服务 数据库结构修复 误删除找回 文件找回 格式化找回 重装系统找回文件,硬盘数据丢失找回，网站访问加速，数据恢复，数据找回，删除数据，重要数据恢复，数据库优化，数据库重构，表修复，表结构修复，数据库修复。全程保全数据的修复方案，数据库修复，数据结构修改，数据表修复，数据表处理，数据导出,,3000,1次,数据库初级故障,数据库初级故障,1
网站顶级com/cn域名注册,注册域名是您搭建网站的基础。,域名服务,65,1年,标准版,标准版,2
商城网站Saas服务解决方案,SaaS化电商零售解决方案，覆盖全渠道，商品/订单/库存/会员一体化，云端服务更具价格优势,B2C商城,3188,1年,专业版【中国香港节点】,专业版【中国香港节点】,2
二维码生成识别,按照设定的参数、模板生成二维码，也可以识别二维码中的信息。,图片识别,0.0198,1年,"198.00元/10,000次",0.0198,0
二十四节气,二十四节气的时间、由来、习俗、养生,,0.00045,1年,"9.00元/20,000次",0.00045,0
微信文章精选,获取常用频道的热门微信文章，返回标题、图片、内容、阅读数、点赞数等信息。,新闻查询,0.0198,1年,"198.00元/10,000次",0.0198,0
条码生成识别,"可以生成EAN13, EAN8, CODE11, CODE128, CODE39, CODE93, CODE3, GS1128, I25, ISBN, MSI, UPCA, UPCE, CODEBAR等各种条形码，并可以识别各种条形码。",条码查询,0.0198,1年,"198.00元/10,000次",0.0198,0
微购儿社区团购新零售电商拼团小程序,购儿绿色通道：购买正式版，支持免费进行微信认证，节省300元/年。 核心功能：购物直播、网红直播购物、供应商入驻、团长手机管理后台、DIY魔方装修设计、三级分销拼团秒杀、优惠券、满减优惠、积分商城、付费会员卡、主题活动。群接龙活动、微购儿小程序，无需代码 一键生成 瞬间拥有！,电商，超市，零售，O2O，拼团,3980,1年,2年,2年,2
航歌-【幼儿园小程序-可视化DIY】秒杀拼团抽奖砍价积分商城,核心功能：手机端管理后台、手机客服、DIY可视化界面、秒杀拼团、砍价抽奖、裂变红包、三级分销、专题、优惠券、卡券、会员卡、积分商城、一物一码、预约约定，手机客服等功能、航歌小程序，匠人精神，更注重细节！,教育,1600,3个月,营销版+手机客服,营销版+手机客服,2
Oracle RAC部署实施 DataGuard高可用 数据库维护 SQL性能优化,7×24专业代运维服务，Oracle代维服务，数据库调优，数据库优化，MySQL，Oracle，MongoDB，Redis，MySQL数据文件损坏，修复数据库，数据库无法连接,,13000,1次,性能优化,性能优化,1
HTTPS认证 SSL证书 CA证书 | 域名备案,HTTPS认证 SSL证书 CA证书 | 域名备案网站HTTPS CA证书配置 SSL HTTPS,证书安装,240,1次,单次配置+1年单域名证书,单次配置+1年单域名证书,1
腾讯云SSL证书安装 SSL配置,"专业提供https_ssl网站证书安装，证书配置，证书部署服务 专人一对一服务 小程序微信苹果ATS防广告劫持 SSL证书安装 SSL域名数字证书 微信小程序HTTPS解决 SSL证书申请 证书配置服务。
",服务器配置，腾讯云SSL证书安装nginx服务器https配置网站SSL安装宝塔,200,1次,SSL证书安装配置,SSL证书安装配置,1
全国医疗票据分类：【医疗发票、各类住院单据】-深源恒际科技有限公司,"【AI技术：医疗票据分类-单据分类-图片分类-报销审核单据分类】支持对全国医疗票据类图片进行分类，目前支持类型：住院发票,门诊发票、结算单(分割单), 明细清单、出院小结、其他。",医疗票据，图片分类，医疗票据分类，票据分类，发票分类,0.15,1年,"150.00元/1,000次",0.15,0
云·速成美站,"云·速成美站【5折】，会打字就能建网站，最快一天上线！后台预制1153套精美模板。电话：010-86467666

",信息门户，企业展示，电商系统，其他网站定制,500,1年,基础版【香港节点】,基础版【香港节点】,2
【餐饮行业解决方案】智慧化解决餐饮行业难题,餐饮行业问题解决方案，预约取号，扫码取餐，门店管理，营销拓客……支持多商户连锁餐饮，更智能的解决餐饮行业难题。,定制APP，餐饮系统，后厨管理，在线预约点餐，智能排号语音播报,100,1次,智能排号+语音播报系统,智能排号+语音播报系统,1
域名备案顾问 域名备案指导,为企业提供域名备案新增、接入、变更咨询和指导，多名运维工程师7*24小时为您的业务保驾护航。,,99,1次,安心备,安心备,1
Ubuntu 22.04 图形化 (Xfce桌面),由Websoft9提供的 Ubuntu22.04 镜像环境，基于腾讯云官方公共镜像，预装了图形化桌面Xfce4，支持远程桌面登录方式。订阅此产品，您可以获得升级、变更、维护、救援等免费的技术支持服务。,,0,-1,-1,-1,
宠物相似度比对-判断是否为同一只宠物-宠物保险-宠物走失-流浪犬管理-悦保科技,支持对宠物狗、宠物猫进行1:1或1:N的相似度比对，基于宠物面部及鼻纹的关键生物特征，判断是否为同一只宠物，返回比对结果置信度和根据不同误识率下的阈值判断结果，适用宠物医疗、宠物保险、流浪犬管理、智能用品、消费记录等场景。,,0.5,1年,50.00元/100次,0.5,0
电商商城超市社区生鲜配送小程序APP叮咚买菜水果生鲜蔬菜配送系统源码,超市社区生鲜配送小程序APP叮咚买菜水果生鲜蔬菜配送系统源码,定制APP，苹果APP，安卓APP，电商APP,1,1次,安卓APP版本,安卓APP版本,1
CVM 磁盘扩容 | 数据盘分区挂载 | 本地磁盘迁移,Linux、Windows系统磁盘和数据盘分区、扩容 、挂载及数据迁移。腾讯云Linux系统磁盘扩容 ，Windows磁盘扩容分区挂载，磁盘空间不足。,网站搬家，服务器配置，磁盘扩容，分区挂载，系统盘数据盘在线扩容,400,1次,Windows磁盘扩容分区挂载,Windows磁盘扩容分区挂载,1
壹度分销DIY商城小程序,支持三级分销、单商品分销、分销升级、多种返佣模式，支持可视化装修,分销商城，多商户，可视化装修，多级分销,1200,1年,独立部署,独立部署,2
数字化营销平台·资源消耗项,超出系统基础版本的需求，企业用户可以单独购置资源消耗项，包含加速包、自有渠道数、短信验证码等多种资源。,CRM,0,-1,-1,-1,
小程序认证免300元认证年费,服务商平台快速认证官方小程序，免300元认证年费 ，提交到审核通过最快仅需三分钟,小程序，微信公众号，小程序认证,9.9,1次,小程序认证免300元认证年费,小程序认证免300元认证年费,1
【拇指云】企业三要素校验-企业工商信息查询-企业基本信息API,拇指云基于云算法及工商企业信用数据，用户只需传入企业全称或社会统一信用代码，即可获得企业工商相关信息（法人、注册资本、地址、营业范围、企业期限、经营状态等），亦可对企业三要素进行核验对比，极大提高了信息处理效率，助力企业数字化转型。,,0.0199,1年,"19.90元/1,000次",0.0199,0
企业培训APP源码丨企业内训系统搭建丨员工技能培训图文考试刷题平台二开丨视频会议公司培训学习H5,覆盖企业个性化、多样化的培训场景，全面解决企业培训应用需求痛点，为企业提供一站式的企业培训解决方案。,,1,1次,成品系统丨整套源码出售（详情请咨询客服）,成品系统丨整套源码出售（详情请咨询客服）,1
手机号三要素实名认证-运营商三要素实名认证-运营商三要素验证-三网手机号实名认证,验证手机号、姓名、身份证号是否一致，并返回手机号基本信息，包括所在城市、邮编、区号、运营商等信息。支持移动、联通、电信三网手机号三要素的验证，支持携号转网，直连运营商数据源，数据实时更新，纯实时高质量接口。银行级等保安全、更稳定。目前已有多家独角兽企业、保险公司、银行使用该产品。,,0.23,1年,2.30元/10次,0.23,0
【超级官网】官网视频展示访客分段预约,官网全网端展示，精美行业模板、图片+视频展示，营销商城,企业官网，形象展示，小程序官网,36500,1天,官网云专业版,官网云专业版,2
交强险日期查询,"1、根据VIN码查询车辆交强险初次投保日期及最近投保日期。
2、根据VIN码查询车辆交强险最近投保日期及状态：
1）在交强险在保期内 ；
2）不在交强险在保期内 ；
3）较大概率不在交强险在保期内；
4）交强险当月到期,无法判断是否在交强险在保期内。
",车辆查询,2.5,1年,50.00元/20次,2.5,0
JINGsocial SCRM营销自动化平台,中国领先的营销自动化平台，助力品牌将粉丝转化为客户,营销自动化，SCRM，数字化营销,150000,1个月,专业版,专业版,2
宝塔面板（BT）-Centos7.6系统镜像,"本镜像根据官方发布的宝塔面板制作，购买后直接自动部署。
宝塔面板是一款服务器管理软件，可以通过Web端轻松管理服务器，提升效率。",PHP，LAMP，LNMP，宝塔，Nginx,0,-1,-1,-1,
宝商云邮箱【宝商云邮箱标准版/标准版/集团版】,"企业邮箱是以企业域名作后缀的邮箱，既体现公司品牌和形象，又能方便公司对员工信箱进行统一管理，还能使公司商业信函来往获得更好更安全的管理，是现今互联网时代中不可缺少的现代化通讯工具。
品牌云企业邮箱免费版、标准版为云服务商宝商科技合作伙伴提供的品牌云企业邮箱。",企业邮箱开通，企业邮箱搬迁,1200,1个月,云企业邮箱免费版【5GB邮箱空间X50邮箱帐号】关联会员价299元【每天限5名】,云企业邮箱免费版【5GB邮箱空间X50邮箱帐号】关联会员价299元【每天限5名】,2
【低至0.01】身份证实名认证_身份证二要素核验_身份证实名核验接口【稳定、合规-支付公司背景】,【庆圣诞、迎新年】【0元/500次，返回精准，全程人工支持】身份证二要素，传入姓名、身份证号，校验身份是否一致，认证不一致时返回精准原因，例：是否繁体字、民族特色姓名是否缺少分隔符；一致时同步返回身份证归属地信息。官方接口实时核验，零缓存，支持高并发。【可开发票、可签纸质合同】,,0.035,1年,7.00元/200次,0.035,0
千帆小微企业经营管理平台-专业版,金蝶云·星辰专业版是基于云原生架构的小微企业成长服务平台，提供完整的小微企业SaaS与PaaS服务，包括财务云、税务云、进销存云、零售云、订货商城等SaaS服务，支持小微企业拓客开源、智能管理、实时决策,,300,-1,-1,-1,
